============================================================
  Generated by:           Genus(TM) Synthesis Solution 21.10-p002_1
  Generated on:           Jun 27 2023  04:37:03 pm
  Module:                 NTTN
  Technology library:     fast_vdd1v0 1.0
  Operating conditions:   PVT_1P1V_0C (balanced_tree)
  Wireload mode:          enclosed
  Area mode:              timing library
============================================================

         Instance                        Module                 Cell Count   Cell Area  Net Area   Total Area   Wireload  
--------------------------------------------------------------------------------------------------------------------------
NTTN                                                                369517 1733996.088     0.000  1733996.088 <none> (D)  
  BRAM_GEN_BLOCK[4].bd00  BRAM_DLEN28_HLEN8_8                        12734   64437.930     0.000    64437.930 <none> (D)  
  BRAM_GEN_BLOCK[2].bd00  BRAM_DLEN28_HLEN8_4                        12827   64448.190     0.000    64448.190 <none> (D)  
  BRAM_GEN_BLOCK[6].bd00  BRAM_DLEN28_HLEN8_12                       12750   64447.506     0.000    64447.506 <none> (D)  
  BRAM_GEN_BLOCK[5].bd00  BRAM_DLEN28_HLEN8_10                       12973   64663.650     0.000    64663.650 <none> (D)  
  BRAM_GEN_BLOCK[6].bt00  BRAM_DLEN28_HLEN10_6                       14362   67911.966     0.000    67911.966 <none> (D)  
  BRAM_GEN_BLOCK[5].bt00  BRAM_DLEN28_HLEN10_5                       14466   68084.334     0.000    68084.334 <none> (D)  
  BRAM_GEN_BLOCK[4].bt00  BRAM_DLEN28_HLEN10_4                       14442   68044.662     0.000    68044.662 <none> (D)  
  BRAM_GEN_BLOCK[0].bt00  BRAM_DLEN28_HLEN10                         14375   68008.752     0.000    68008.752 <none> (D)  
  BRAM_GEN_BLOCK[3].bt00  BRAM_DLEN28_HLEN10_3                       14412   67919.148     0.000    67919.148 <none> (D)  
  BRAM_GEN_BLOCK[2].bt00  BRAM_DLEN28_HLEN10_2                       14459   68020.380     0.000    68020.380 <none> (D)  
  BRAM_GEN_BLOCK[7].bt00  BRAM_DLEN28_HLEN10_7                       14374   68128.452     0.000    68128.452 <none> (D)  
  BRAM_GEN_BLOCK[7].bd00  BRAM_DLEN28_HLEN8_14                       12734   64437.930     0.000    64437.930 <none> (D)  
  BRAM_GEN_BLOCK[7].bd01  BRAM_DLEN28_HLEN8_15                       12987   64543.950     0.000    64543.950 <none> (D)  
  NTT2_GEN_BLOCK[7].nttu  NTT2_7                                      4723   15661.548     0.000    15661.548 <none> (D)  
    mm                    ModMult_7                                   3992   12440.250     0.000    12440.250 <none> (D)  
      im                  intMult_7                                   1983    6232.950     0.000     6232.950 <none> (D)  
        CSA_LOOP[0].csau  CSA_14                                        28     127.224     0.000      127.224 <none> (D)  
          FA_LOOP[16].fau FA_912                                         1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[17].fau FA_913                                         1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[18].fau FA_914                                         1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[19].fau FA_915                                         1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[20].fau FA_916                                         1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[21].fau FA_917                                         1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[22].fau FA_918                                         1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[23].fau FA_919                                         1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[24].fau FA_920                                         1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[25].fau FA_921                                         1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[26].fau FA_922                                         1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[27].fau FA_923                                         1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[28].fau FA_924                                         1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[29].fau FA_925                                         1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[30].fau FA_926                                         1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[31].fau FA_927                                         1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[32].fau FA_928                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[33].fau FA_929                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[34].fau FA_930                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[35].fau FA_931                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[36].fau FA_932                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[37].fau FA_933                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[38].fau FA_934                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[39].fau FA_935                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[40].fau FA_936                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[41].fau FA_937                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[42].fau FA_938                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[43].fau FA_939                                         1       3.762     0.000        3.762 <none> (D)  
        CSA_LOOP[1].csau  CSA_1                                         28     121.752     0.000      121.752 <none> (D)  
          FA_LOOP[17].fau FA_977                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[18].fau FA_978                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[19].fau FA_979                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[20].fau FA_980                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[21].fau FA_981                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[22].fau FA_982                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[23].fau FA_983                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[24].fau FA_984                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[25].fau FA_985                                         1       3.762     0.000        3.762 <none> (D)  
