============================================================
  Generated by:           Genus(TM) Synthesis Solution 21.10-p002_1
  Generated on:           Jul 17 2023  08:26:43 pm
  Module:                 NTTN
  Technology library:     fast_vdd1v0 1.0
  Operating conditions:   PVT_1P1V_0C (balanced_tree)
  Wireload mode:          enclosed
  Area mode:              timing library
============================================================

         Instance                           Module                   Cell Count   Cell Area  Net Area   Total Area   Wireload  
-------------------------------------------------------------------------------------------------------------------------------
NTTN                                                                     409515 1948264.902     0.000  1948264.902 <none> (D)  
          FA_LOOP[37].fau FA_229                                              1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[38].fau FA_230                                              1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[39].fau FA_231                                              1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[40].fau FA_232                                              1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[41].fau FA_233                                              1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[42].fau FA_234                                              1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[43].fau FA_235                                              1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[44].fau FA_236                                              1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[45].fau FA_237                                              1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[46].fau FA_238                                              1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[47].fau FA_239                                              1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[48].fau FA_240                                              1       3.762     0.000        3.762 <none> (D)  
      mr                  ModRed_1                                          758    3022.254     0.000     3022.254 <none> (D)  
        genblk1[0].mrs    rad4_ModRed_sub_CURR_DATA64_NEXT_DATA55_1         221     869.022     0.000      869.022 <none> (D)  
        genblk1[1].mrs    rad4_ModRed_sub_CURR_DATA55_NEXT_DATA46_1         185     727.434     0.000      727.434 <none> (D)  
        genblk1[2].mrs    rad4_ModRed_sub_CURR_DATA46_NEXT_DATA37_1         149     585.846     0.000      585.846 <none> (D)  
        mrsl              rad4_ModRed_sub_CURR_DATA37_NEXT_DATA34_1         113     444.258     0.000      444.258 <none> (D)  
    unit00                ShiftReg_SHIFT12_DATA32_1                         385    2364.588     0.000     2364.588 <none> (D)  
  NTT2_GEN_BLOCK[5].nttu  NTT2_5                                           3937   14533.290     0.000    14533.290 <none> (D)  
    mm                    ModMult_5                                        3093   10494.954     0.000    10494.954 <none> (D)  
      im                  intMult_5                                        2337    7473.726     0.000     7473.726 <none> (D)  
        CSA_LOOP[0].csau  CSA_10                                             32     142.272     0.000      142.272 <none> (D)  
          FA_LOOP[16].fau FA_656                                              1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[17].fau FA_657                                              1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[18].fau FA_658                                              1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[19].fau FA_659                                              1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[20].fau FA_660                                              1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[21].fau FA_661                                              1       5.130     0.000        5.130 <none> (D)  
