###############################################################
#  Generated by:      Cadence Innovus 21.10-p004_1
#  OS:                Linux x86_64(Host ID vlsicadclient13)
#  Generated on:      Fri Jul 21 15:46:30 2023
#  Design:            NTTN
#  Command:           report_timing > timing_postRoute.txt
###############################################################
Path 1: MET Setup Check with Pin NTT2_GEN_BLOCK[1].nttu/MULin1_reg[31]/CK 
Endpoint:   NTT2_GEN_BLOCK[1].nttu/MULin1_reg[31]/D (^) checked with  leading 
edge of 'clk'
Beginpoint: NTTin_reg[2][0]/Q                       (^) triggered by  leading 
edge of 'clk'
Path Groups: {clk}
Analysis View: setup
Other End Arrival Time         -0.022
- Setup                         0.147
+ Phase Shift                  10.000
= Required Time                 9.831
- Arrival Time                  8.138
= Slack Time                    1.693
     Clock Rise Edge                 0.000
     + Clock Network Latency (Prop)  0.024
     = Beginpoint Arrival Time       0.024
     +-------------------------------------------------------------------------------------------------------------+ 
     |                      Instance                      |      Arc      |   Cell    | Delay | Arrival | Required | 
     |                                                    |               |           |       |  Time   |   Time   | 
     |----------------------------------------------------+---------------+-----------+-------+---------+----------| 
     | NTT2_GEN_BLOCK[1].nttu/sub_40_26_g2659             | CI ^ -> CO ^  | ADDFHX2   | 0.215 |   3.732 |    3.868 | 
     | NTT2_GEN_BLOCK[1].nttu/FE_RC_3560_0                | B ^ -> Y v    | NAND2BX4  | 0.082 |   3.814 |    3.950 | 
     | NTT2_GEN_BLOCK[1].nttu/FE_RC_3558_0                | B v -> Y ^    | NAND2BX4  | 0.058 |   3.872 |    4.007 | 
     | NTT2_GEN_BLOCK[1].nttu/FE_RC_1729_0                | B ^ -> Y v    | NAND2BX4  | 0.065 |   3.937 |    4.072 | 
     | NTT2_GEN_BLOCK[1].nttu/FE_RC_1728_0                | B v -> Y ^    | NAND2X4   | 0.050 |   3.987 |    4.122 | 
     | NTT2_GEN_BLOCK[1].nttu/FE_RC_1464_0                | B ^ -> Y v    | NAND2BX4  | 0.067 |   4.053 |    4.189 | 
     | NTT2_GEN_BLOCK[1].nttu/FE_RC_1463_0                | B v -> Y ^    | NAND2X4   | 0.050 |   4.104 |    4.239 | 
     | NTT2_GEN_BLOCK[1].nttu/FE_RC_2220_0                | B ^ -> Y v    | NAND2BX4  | 0.074 |   4.178 |    4.314 | 
     | NTT2_GEN_BLOCK[1].nttu/FE_RC_2219_0                | B v -> Y ^    | NAND2X4   | 0.056 |   4.235 |    4.370 | 
     | NTT2_GEN_BLOCK[1].nttu/FE_RC_3369_0                | B ^ -> Y v    | NAND2BX4  | 0.077 |   4.312 |    4.447 | 
     | NTT2_GEN_BLOCK[1].nttu/FE_RC_3368_0                | B v -> Y ^    | NAND2X6   | 0.054 |   4.365 |    4.501 | 
     | NTT2_GEN_BLOCK[1].nttu/FE_RC_636_0                 | B ^ -> Y v    | NAND2BX4  | 0.072 |   4.437 |    4.572 | 
     | NTT2_GEN_BLOCK[1].nttu/FE_RC_635_0                 | B v -> Y ^    | NAND2X4   | 0.051 |   4.488 |    4.624 | 
     | NTT2_GEN_BLOCK[1].nttu/FE_RC_460_0                 | A ^ -> Y v    | NAND2X4   | 0.086 |   4.574 |    4.709 | 
     | NTT2_GEN_BLOCK[1].nttu/FE_RC_459_0                 | B v -> Y ^    | NAND2X6   | 0.053 |   4.626 |    4.762 | 
     | NTT2_GEN_BLOCK[1].nttu/FE_RC_364_0                 | B ^ -> Y v    | NAND2BX4  | 0.058 |   4.685 |    4.820 | 
     | NTT2_GEN_BLOCK[1].nttu/FE_RC_363_0                 | B v -> Y ^    | NAND2X2   | 0.050 |   4.735 |    4.871 | 
     | NTT2_GEN_BLOCK[1].nttu/FE_RC_309_0                 | B ^ -> Y v    | NAND2BX2  | 0.067 |   4.802 |    4.938 | 
     | NTT2_GEN_BLOCK[1].nttu/FE_RC_308_0                 | B v -> Y ^    | NAND2X2   | 0.062 |   4.864 |    4.999 | 
     | NTT2_GEN_BLOCK[1].nttu/FE_RC_196_0                 | B ^ -> Y v    | NAND2BX2  | 0.075 |   4.939 |    5.075 | 
     | NTT2_GEN_BLOCK[1].nttu/FE_RC_195_0                 | B v -> Y ^    | NAND2X2   | 0.059 |   4.998 |    5.133 | 
     | NTT2_GEN_BLOCK[1].nttu/FE_OFC141438_sub_40_26_n_94 | A ^ -> Y v    | INVX2     | 0.089 |   5.087 |    5.222 | 
     | NTT2_GEN_BLOCK[1].nttu/g992                        | B v -> Y v    | CLKAND2X2 | 0.130 |   5.217 |    5.353 | 
     | NTT2_GEN_BLOCK[1].nttu/ADD_UNS_OP_g783             | A v -> Y v    | CLKAND2X2 | 0.109 |   5.326 |    5.461 | 
     | NTT2_GEN_BLOCK[1].nttu/ADD_UNS_OP_g780             | CI v -> CO v  | ADDFHXL   | 0.169 |   5.495 |    5.631 | 
     | NTT2_GEN_BLOCK[1].nttu/ADD_UNS_OP_g779             | CI v -> CO v  | ADDFHX2   | 0.205 |   5.700 |    5.835 | 
     | NTT2_GEN_BLOCK[1].nttu/FE_RC_2448_0                | B v -> Y ^    | NAND2BX4  | 0.056 |   5.756 |    5.891 | 
     | NTT2_GEN_BLOCK[1].nttu/FE_RC_2447_0                | B ^ -> Y v    | NAND2X4   | 0.070 |   5.826 |    5.961 | 
     | NTT2_GEN_BLOCK[1].nttu/FE_RC_2554_0                | B v -> Y ^    | NAND2BX4  | 0.056 |   5.882 |    6.018 | 
     | NTT2_GEN_BLOCK[1].nttu/FE_RC_2553_0                | B ^ -> Y v    | NAND2X4   | 0.081 |   5.963 |    6.099 | 
     | NTT2_GEN_BLOCK[1].nttu/FE_RC_283_0                 | B v -> Y ^    | NAND2BX4  | 0.064 |   6.027 |    6.163 | 
     | NTT2_GEN_BLOCK[1].nttu/FE_RC_281_0                 | B ^ -> Y v    | NAND2BX4  | 0.061 |   6.089 |    6.224 | 
     | NTT2_GEN_BLOCK[1].nttu/FE_RC_221_0                 | CI v -> CON ^ | ACHCONX2  | 0.082 |   6.171 |    6.307 | 
     | NTT2_GEN_BLOCK[1].nttu/FE_OFC141433_FE_RN_187_0    | A ^ -> Y v    | INVX2     | 0.083 |   6.255 |    6.390 | 
     | NTT2_GEN_BLOCK[1].nttu/FE_RC_1161_0                | B v -> Y ^    | NAND2BX4  | 0.057 |   6.312 |    6.447 | 
     | NTT2_GEN_BLOCK[1].nttu/FE_RC_1160_0                | B ^ -> Y v    | NAND2X6   | 0.065 |   6.377 |    6.512 | 
     | NTT2_GEN_BLOCK[1].nttu/FE_RC_1020_0                | B v -> Y ^    | NAND2BX4  | 0.051 |   6.428 |    6.563 | 
     | NTT2_GEN_BLOCK[1].nttu/FE_RC_1019_0                | B ^ -> Y v    | NAND2X4   | 0.075 |   6.502 |    6.638 | 
     | NTT2_GEN_BLOCK[1].nttu/FE_RC_1335_0                | B v -> Y ^    | NAND2BX4  | 0.061 |   6.564 |    6.699 | 
