============================================================
  Generated by:           Genus(TM) Synthesis Solution 21.10-p002_1
  Generated on:           Jul 26 2023  02:42:43 pm
  Module:                 ModRed
  Technology library:     fast_vdd1v0 1.0
  Operating conditions:   PVT_1P1V_0C (balanced_tree)
  Wireload mode:          enclosed
  Area mode:              timing library
============================================================

    Instance                     Module                 Cell Count  Cell Area  Net Area   Total Area   Wireload  
-----------------------------------------------------------------------------------------------------------------
ModRed                                                        6664  18594.540     0.000    18594.540 <none> (D)  
        i4       ka_8x8_63_996                                  78    206.226     0.000      206.226 <none> (D)  
          m1     ka_4x4_255_892                                 26     57.798     0.000       57.798 <none> (D)  
            m1   ka_2x2_1023_3314                                6      7.524     0.000        7.524 <none> (D)  
            m2   ka_2x2_1023_3315                                6      7.524     0.000        7.524 <none> (D)  
          m2     ka_4x4_255_893                                 26     57.798     0.000       57.798 <none> (D)  
            m1   ka_2x2_1023_3318                                6      7.524     0.000        7.524 <none> (D)  
            m2   ka_2x2_1023_3319                                6      7.524     0.000        7.524 <none> (D)  
      i3         ka_16x16_43                                   279    618.678     0.000      618.678 <none> (D)  
        i2       ka_8x8_3_966                                  114    261.288     0.000      261.288 <none> (D)  
          m1     ka_4x4_14_775                                  10     18.810     0.000       18.810 <none> (D)  
            m2   ka_2x2_1023_3330                                6      7.524     0.000        7.524 <none> (D)  
          m2     ka_4x4_255_896                                 26     57.798     0.000       57.798 <none> (D)  
            m1   ka_2x2_1023_3332                                6      7.524     0.000        7.524 <none> (D)  
            m2   ka_2x2_1023_3333                                6      7.524     0.000        7.524 <none> (D)  
          m3     ka_4x4_14_791                                  19     31.464     0.000       31.464 <none> (D)  
            m2   ka_2x2_1023_3336                                6      7.524     0.000        7.524 <none> (D)  
            m4   ka_2x2_1023_3337                                7      8.208     0.000        8.208 <none> (D)  
          m4     ka_4x4_255_897                                 40     74.214     0.000       74.214 <none> (D)  
            m1   ka_2x2_1023_3338                                6      7.524     0.000        7.524 <none> (D)  
            m2   ka_2x2_1023_3339                                6      7.524     0.000        7.524 <none> (D)  
            m3   ka_2x2_1023_3340                                7      8.208     0.000        8.208 <none> (D)  
            m4   ka_2x2_1023_3341                                7      8.208     0.000        8.208 <none> (D)  
        i4       ka_8x8_3_974                                  147    302.328     0.000      302.328 <none> (D)  
          m1     ka_4x4_14_767                                  20     32.148     0.000       32.148 <none> (D)  
            m2   ka_2x2_1023_3342                                7      8.208     0.000        8.208 <none> (D)  
            m4   ka_2x2_1023_3343                                7      8.208     0.000        8.208 <none> (D)  
          m2     ka_4x4_255_898                                 42     75.582     0.000       75.582 <none> (D)  
            m1   ka_2x2_1023_3344                                7      8.208     0.000        8.208 <none> (D)  
            m2   ka_2x2_1023_3345                                7      8.208     0.000        8.208 <none> (D)  
            m3   ka_2x2_1023_3346                                7      8.208     0.000        8.208 <none> (D)  
            m4   ka_2x2_1023_3347                                7      8.208     0.000        8.208 <none> (D)  
          m3     ka_4x4_14_783                                  20     32.148     0.000       32.148 <none> (D)  
            m2   ka_2x2_1023_3348                                7      8.208     0.000        8.208 <none> (D)  
            m4   ka_2x2_1023_3349                                7      8.208     0.000        8.208 <none> (D)  
          m4     ka_4x4_255_899                                 42     75.582     0.000       75.582 <none> (D)  
            m1   ka_2x2_1023_3350                                7      8.208     0.000        8.208 <none> (D)  
            m2   ka_2x2_1023_3351                                7      8.208     0.000        8.208 <none> (D)  
            m3   ka_2x2_1023_3352                                7      8.208     0.000        8.208 <none> (D)  
            m4   ka_2x2_1023_3353                                7      8.208     0.000        8.208 <none> (D)  
      i4         ka_16x16_15_53                                754   1681.614     0.000     1681.614 <none> (D)  
        i1       ka_8x8_63_997                                 158    354.654     0.000      354.654 <none> (D)  
          m1     ka_4x4_255_900                                 26     57.798     0.000       57.798 <none> (D)  
            m1   ka_2x2_1023_3354                                6      7.524     0.000        7.524 <none> (D)  
            m2   ka_2x2_1023_3355                                6      7.524     0.000        7.524 <none> (D)  
          m2     ka_4x4_255_901                                 26     57.798     0.000       57.798 <none> (D)  
            m1   ka_2x2_1023_3358                                6      7.524     0.000        7.524 <none> (D)  
            m2   ka_2x2_1023_3359                                6      7.524     0.000        7.524 <none> (D)  
          m3     ka_4x4_255_902                                 40     74.214     0.000       74.214 <none> (D)  
            m1   ka_2x2_1023_3362                                6      7.524     0.000        7.524 <none> (D)  
            m2   ka_2x2_1023_3363                                6      7.524     0.000        7.524 <none> (D)  
            m3   ka_2x2_1023_3364                                7      8.208     0.000        8.208 <none> (D)  
            m4   ka_2x2_1023_3365                                7      8.208     0.000        8.208 <none> (D)  
          m4     ka_4x4_255_903                                 40     74.214     0.000       74.214 <none> (D)  
            m1   ka_2x2_1023_3366                                6      7.524     0.000        7.524 <none> (D)  
            m2   ka_2x2_1023_3367                                6      7.524     0.000        7.524 <none> (D)  
            m3   ka_2x2_1023_3368                                7      8.208     0.000        8.208 <none> (D)  
            m4   ka_2x2_1023_3369                                7      8.208     0.000        8.208 <none> (D)  
        i2       ka_8x8_63_998                                 158    354.654     0.000      354.654 <none> (D)  
          m1     ka_4x4_255_904                                 26     57.798     0.000       57.798 <none> (D)  
            m1   ka_2x2_1023_3370                                6      7.524     0.000        7.524 <none> (D)  
            m2   ka_2x2_1023_3371                                6      7.524     0.000        7.524 <none> (D)  
          m2     ka_4x4_255_905                                 26     57.798     0.000       57.798 <none> (D)  
            m1   ka_2x2_1023_3374                                6      7.524     0.000        7.524 <none> (D)  
            m2   ka_2x2_1023_3375                                6      7.524     0.000        7.524 <none> (D)  
          m3     ka_4x4_255_906                                 40     74.214     0.000       74.214 <none> (D)  
            m1   ka_2x2_1023_3378                                6      7.524     0.000        7.524 <none> (D)  
            m2   ka_2x2_1023_3379                                6      7.524     0.000        7.524 <none> (D)  
            m3   ka_2x2_1023_3380                                7      8.208     0.000        8.208 <none> (D)  
            m4   ka_2x2_1023_3381                                7      8.208     0.000        8.208 <none> (D)  
          m4     ka_4x4_255_907                                 40     74.214     0.000       74.214 <none> (D)  
            m1   ka_2x2_1023_3382                                6      7.524     0.000        7.524 <none> (D)  
            m2   ka_2x2_1023_3383                                6      7.524     0.000        7.524 <none> (D)  
            m3   ka_2x2_1023_3384                                7      8.208     0.000        8.208 <none> (D)  
            m4   ka_2x2_1023_3385                                7      8.208     0.000        8.208 <none> (D)  
        i3       ka_8x8_63_999                                 194    392.958     0.000      392.958 <none> (D)  
          m1     ka_4x4_255_908                                 42     75.582     0.000       75.582 <none> (D)  
            m1   ka_2x2_1023_3386                                7      8.208     0.000        8.208 <none> (D)  
            m2   ka_2x2_1023_3387                                7      8.208     0.000        8.208 <none> (D)  
            m3   ka_2x2_1023_3388                                7      8.208     0.000        8.208 <none> (D)  
            m4   ka_2x2_1023_3389                                7      8.208     0.000        8.208 <none> (D)  
          m2     ka_4x4_255_909                                 42     75.582     0.000       75.582 <none> (D)  
            m1   ka_2x2_1023_3390                                7      8.208     0.000        8.208 <none> (D)  
            m2   ka_2x2_1023_3391                                7      8.208     0.000        8.208 <none> (D)  
            m3   ka_2x2_1023_3392                                7      8.208     0.000        8.208 <none> (D)  
            m4   ka_2x2_1023_3393                                7      8.208     0.000        8.208 <none> (D)  
          m3     ka_4x4_255_910                                 42     75.582     0.000       75.582 <none> (D)  
            m1   ka_2x2_1023_3394                                7      8.208     0.000        8.208 <none> (D)  
            m2   ka_2x2_1023_3395                                7      8.208     0.000        8.208 <none> (D)  
            m3   ka_2x2_1023_3396                                7      8.208     0.000        8.208 <none> (D)  
            m4   ka_2x2_1023_3397                                7      8.208     0.000        8.208 <none> (D)  
          m4     ka_4x4_255_911                                 42     75.582     0.000       75.582 <none> (D)  
            m1   ka_2x2_1023_3398                                7      8.208     0.000        8.208 <none> (D)  
            m2   ka_2x2_1023_3399                                7      8.208     0.000        8.208 <none> (D)  
            m3   ka_2x2_1023_3400                                7      8.208     0.000        8.208 <none> (D)  
            m4   ka_2x2_1023_3401                                7      8.208     0.000        8.208 <none> (D)  
        i4       ka_8x8_63_1000                                194    392.958     0.000      392.958 <none> (D)  
          m1     ka_4x4_255_912                                 42     75.582     0.000       75.582 <none> (D)  
            m1   ka_2x2_1023_3402                                7      8.208     0.000        8.208 <none> (D)  
            m2   ka_2x2_1023_3403                                7      8.208     0.000        8.208 <none> (D)  
            m3   ka_2x2_1023_3404                                7      8.208     0.000        8.208 <none> (D)  
            m4   ka_2x2_1023_3405                                7      8.208     0.000        8.208 <none> (D)  
          m2     ka_4x4_255_913                                 42     75.582     0.000       75.582 <none> (D)  
            m1   ka_2x2_1023_3406                                7      8.208     0.000        8.208 <none> (D)  
            m2   ka_2x2_1023_3407                                7      8.208     0.000        8.208 <none> (D)  
            m3   ka_2x2_1023_3408                                7      8.208     0.000        8.208 <none> (D)  
            m4   ka_2x2_1023_3409                                7      8.208     0.000        8.208 <none> (D)  
          m3     ka_4x4_255_914                                 42     75.582     0.000       75.582 <none> (D)  
            m1   ka_2x2_1023_3410                                7      8.208     0.000        8.208 <none> (D)  
            m2   ka_2x2_1023_3411                                7      8.208     0.000        8.208 <none> (D)  
            m3   ka_2x2_1023_3412                                7      8.208     0.000        8.208 <none> (D)  
            m4   ka_2x2_1023_3413                                7      8.208     0.000        8.208 <none> (D)  
          m4     ka_4x4_255_915                                 42     75.582     0.000       75.582 <none> (D)  
            m1   ka_2x2_1023_3414                                7      8.208     0.000        8.208 <none> (D)  
            m2   ka_2x2_1023_3415                                7      8.208     0.000        8.208 <none> (D)  
            m3   ka_2x2_1023_3416                                7      8.208     0.000        8.208 <none> (D)  
            m4   ka_2x2_1023_3417                                7      8.208     0.000        8.208 <none> (D)  
  mrsl           ka_ModRed_sub_CURR_DATA37_NEXT_DATA34        1509   3972.330     0.000     3972.330 <none> (D)  
    qH_mul_T2    ka_wI32_wO64_1008                            1349   3189.834     0.000     3189.834 <none> (D)  
      i1         ka_16x16_45                                     3      4.788     0.000        4.788 <none> (D)  
        i4       ka_8x8_3_972                                    3      4.788     0.000        4.788 <none> (D)  
          m4     ka_4x4_255_919                                  3      4.788     0.000        4.788 <none> (D)  
            m4   ka_2x2_1023_3441                                3      4.788     0.000        4.788 <none> (D)  
      i2         ka_16x16_15_54                                291    757.530     0.000      757.530 <none> (D)  
        i1       ka_8x8_63_1001                                  3      4.788     0.000        4.788 <none> (D)  
          m4     ka_4x4_255_923                                  3      4.788     0.000        4.788 <none> (D)  
            m4   ka_2x2_1023_3457                                3      4.788     0.000        4.788 <none> (D)  
        i2       ka_8x8_63_1002                                 93    224.010     0.000      224.010 <none> (D)  
          m1     ka_4x4_255_924                                  3      4.788     0.000        4.788 <none> (D)  
            m4   ka_2x2_1023_3461                                3      4.788     0.000        4.788 <none> (D)  
          m2     ka_4x4_255_925                                 24     51.984     0.000       51.984 <none> (D)  
            m1   ka_2x2_1023_3462                                6      7.524     0.000        7.524 <none> (D)  
            m2   ka_2x2_1023_3463                                6      7.524     0.000        7.524 <none> (D)  
          m3     ka_4x4_255_926                                 24     51.984     0.000       51.984 <none> (D)  
            m1   ka_2x2_1023_3466                                6      7.524     0.000        7.524 <none> (D)  
            m2   ka_2x2_1023_3467                                6      7.524     0.000        7.524 <none> (D)  
          m4     ka_4x4_255_927                                 26     57.798     0.000       57.798 <none> (D)  
            m1   ka_2x2_1023_3470                                6      7.524     0.000        7.524 <none> (D)  
            m2   ka_2x2_1023_3471                                6      7.524     0.000        7.524 <none> (D)  
        i3       ka_8x8_63_1003                                 93    224.010     0.000      224.010 <none> (D)  
          m1     ka_4x4_255_928                                  3      4.788     0.000        4.788 <none> (D)  
            m4   ka_2x2_1023_3477                                3      4.788     0.000        4.788 <none> (D)  
          m2     ka_4x4_255_929                                 24     51.984     0.000       51.984 <none> (D)  
            m1   ka_2x2_1023_3478                                6      7.524     0.000        7.524 <none> (D)  
            m2   ka_2x2_1023_3479                                6      7.524     0.000        7.524 <none> (D)  
          m3     ka_4x4_255_930                                 24     51.984     0.000       51.984 <none> (D)  
            m1   ka_2x2_1023_3482                                6      7.524     0.000        7.524 <none> (D)  
            m2   ka_2x2_1023_3483                                6      7.524     0.000        7.524 <none> (D)  
          m4     ka_4x4_255_931                                 26     57.798     0.000       57.798 <none> (D)  
            m1   ka_2x2_1023_3486                                6      7.524     0.000        7.524 <none> (D)  
            m2   ka_2x2_1023_3487                                6      7.524     0.000        7.524 <none> (D)  
        i4       ka_8x8_63_1004                                 78    206.226     0.000      206.226 <none> (D)  
          m1     ka_4x4_255_932                                 26     57.798     0.000       57.798 <none> (D)  
            m1   ka_2x2_1023_3490                                6      7.524     0.000        7.524 <none> (D)  
            m2   ka_2x2_1023_3491                                6      7.524     0.000        7.524 <none> (D)  
          m2     ka_4x4_255_933                                 26     57.798     0.000       57.798 <none> (D)  
            m1   ka_2x2_1023_3494                                6      7.524     0.000        7.524 <none> (D)  
            m2   ka_2x2_1023_3495                                6      7.524     0.000        7.524 <none> (D)  
      i3         ka_16x16_42                                   261    565.326     0.000      565.326 <none> (D)  
        i2       ka_8x8_3_967                                  102    218.196     0.000      218.196 <none> (D)  
          m1     ka_4x4_14_774                                   3      4.788     0.000        4.788 <none> (D)  
            m4   ka_2x2_1023_3507                                3      4.788     0.000        4.788 <none> (D)  
          m2     ka_4x4_255_936                                 24     51.984     0.000       51.984 <none> (D)  
            m1   ka_2x2_1023_3508                                6      7.524     0.000        7.524 <none> (D)  
            m2   ka_2x2_1023_3509                                6      7.524     0.000        7.524 <none> (D)  
          m3     ka_4x4_14_790                                  19     29.754     0.000       29.754 <none> (D)  
            m2   ka_2x2_1023_3512                                6      7.524     0.000        7.524 <none> (D)  
            m4   ka_2x2_1023_3513                                7      8.208     0.000        8.208 <none> (D)  
          m4     ka_4x4_255_937                                 40     74.214     0.000       74.214 <none> (D)  
            m1   ka_2x2_1023_3514                                6      7.524     0.000        7.524 <none> (D)  
            m2   ka_2x2_1023_3515                                6      7.524     0.000        7.524 <none> (D)  
            m3   ka_2x2_1023_3516                                7      8.208     0.000        8.208 <none> (D)  
            m4   ka_2x2_1023_3517                                7      8.208     0.000        8.208 <none> (D)  
        i4       ka_8x8_3_975                                  147    302.328     0.000      302.328 <none> (D)  
          m1     ka_4x4_14_766                                  20     32.148     0.000       32.148 <none> (D)  
            m2   ka_2x2_1023_3518                                7      8.208     0.000        8.208 <none> (D)  
            m4   ka_2x2_1023_3519                                7      8.208     0.000        8.208 <none> (D)  
          m2     ka_4x4_255_938                                 42     75.582     0.000       75.582 <none> (D)  
            m1   ka_2x2_1023_3520                                7      8.208     0.000        8.208 <none> (D)  
            m2   ka_2x2_1023_3521                                7      8.208     0.000        8.208 <none> (D)  
            m3   ka_2x2_1023_3522                                7      8.208     0.000        8.208 <none> (D)  
            m4   ka_2x2_1023_3523                                7      8.208     0.000        8.208 <none> (D)  
          m3     ka_4x4_14_782                                  20     32.148     0.000       32.148 <none> (D)  
            m2   ka_2x2_1023_3524                                7      8.208     0.000        8.208 <none> (D)  
            m4   ka_2x2_1023_3525                                7      8.208     0.000        8.208 <none> (D)  
          m4     ka_4x4_255_939                                 42     75.582     0.000       75.582 <none> (D)  
            m1   ka_2x2_1023_3526                                7      8.208     0.000        8.208 <none> (D)  
            m2   ka_2x2_1023_3527                                7      8.208     0.000        8.208 <none> (D)  
            m3   ka_2x2_1023_3528                                7      8.208     0.000        8.208 <none> (D)  
            m4   ka_2x2_1023_3529                                7      8.208     0.000        8.208 <none> (D)  
      i4         ka_16x16_15                                   754   1681.614     0.000     1681.614 <none> (D)  
        i1       ka_8x8_63_1005                                158    354.654     0.000      354.654 <none> (D)  
          m1     ka_4x4_255_940                                 26     57.798     0.000       57.798 <none> (D)  
            m1   ka_2x2_1023_3530                                6      7.524     0.000        7.524 <none> (D)  
            m2   ka_2x2_1023_3531                                6      7.524     0.000        7.524 <none> (D)  
          m2     ka_4x4_255_941                                 26     57.798     0.000       57.798 <none> (D)  
            m1   ka_2x2_1023_3534                                6      7.524     0.000        7.524 <none> (D)  
            m2   ka_2x2_1023_3535                                6      7.524     0.000        7.524 <none> (D)  
          m3     ka_4x4_255_942                                 40     74.214     0.000       74.214 <none> (D)  
            m1   ka_2x2_1023_3538                                6      7.524     0.000        7.524 <none> (D)  
            m2   ka_2x2_1023_3539                                6      7.524     0.000        7.524 <none> (D)  
            m3   ka_2x2_1023_3540                                7      8.208     0.000        8.208 <none> (D)  
            m4   ka_2x2_1023_3541                                7      8.208     0.000        8.208 <none> (D)  
          m4     ka_4x4_255_943                                 40     74.214     0.000       74.214 <none> (D)  
            m1   ka_2x2_1023_3542                                6      7.524     0.000        7.524 <none> (D)  
            m2   ka_2x2_1023_3543                                6      7.524     0.000        7.524 <none> (D)  
            m3   ka_2x2_1023_3544                                7      8.208     0.000        8.208 <none> (D)  
            m4   ka_2x2_1023_3545                                7      8.208     0.000        8.208 <none> (D)  
        i2       ka_8x8_63_1006                                158    354.654     0.000      354.654 <none> (D)  
          m1     ka_4x4_255_944                                 26     57.798     0.000       57.798 <none> (D)  
            m1   ka_2x2_1023_3546                                6      7.524     0.000        7.524 <none> (D)  
            m2   ka_2x2_1023_3547                                6      7.524     0.000        7.524 <none> (D)  
          m2     ka_4x4_255_945                                 26     57.798     0.000       57.798 <none> (D)  
            m1   ka_2x2_1023_3550                                6      7.524     0.000        7.524 <none> (D)  
            m2   ka_2x2_1023_3551                                6      7.524     0.000        7.524 <none> (D)  
          m3     ka_4x4_255_946                                 40     74.214     0.000       74.214 <none> (D)  
            m1   ka_2x2_1023_3554                                6      7.524     0.000        7.524 <none> (D)  
            m2   ka_2x2_1023_3555                                6      7.524     0.000        7.524 <none> (D)  
            m3   ka_2x2_1023_3556                                7      8.208     0.000        8.208 <none> (D)  
            m4   ka_2x2_1023_3557                                7      8.208     0.000        8.208 <none> (D)  
          m4     ka_4x4_255_947                                 40     74.214     0.000       74.214 <none> (D)  
            m1   ka_2x2_1023_3558                                6      7.524     0.000        7.524 <none> (D)  
            m2   ka_2x2_1023_3559                                6      7.524     0.000        7.524 <none> (D)  
            m3   ka_2x2_1023_3560                                7      8.208     0.000        8.208 <none> (D)  
            m4   ka_2x2_1023_3561                                7      8.208     0.000        8.208 <none> (D)  
        i3       ka_8x8_63_1007                                194    392.958     0.000      392.958 <none> (D)  
          m1     ka_4x4_255_948                                 42     75.582     0.000       75.582 <none> (D)  
            m1   ka_2x2_1023_3562                                7      8.208     0.000        8.208 <none> (D)  
            m2   ka_2x2_1023_3563                                7      8.208     0.000        8.208 <none> (D)  
            m3   ka_2x2_1023_3564                                7      8.208     0.000        8.208 <none> (D)  
            m4   ka_2x2_1023_3565                                7      8.208     0.000        8.208 <none> (D)  
          m2     ka_4x4_255_949                                 42     75.582     0.000       75.582 <none> (D)  
            m1   ka_2x2_1023_3566                                7      8.208     0.000        8.208 <none> (D)  
            m2   ka_2x2_1023_3567                                7      8.208     0.000        8.208 <none> (D)  
            m3   ka_2x2_1023_3568                                7      8.208     0.000        8.208 <none> (D)  
            m4   ka_2x2_1023_3569                                7      8.208     0.000        8.208 <none> (D)  
          m3     ka_4x4_255_950                                 42     75.582     0.000       75.582 <none> (D)  
            m1   ka_2x2_1023_3570                                7      8.208     0.000        8.208 <none> (D)  
            m2   ka_2x2_1023_3571                                7      8.208     0.000        8.208 <none> (D)  
            m3   ka_2x2_1023_3572                                7      8.208     0.000        8.208 <none> (D)  
            m4   ka_2x2_1023_3573                                7      8.208     0.000        8.208 <none> (D)  
          m4     ka_4x4_255_951                                 42     75.582     0.000       75.582 <none> (D)  
            m1   ka_2x2_1023_3574                                7      8.208     0.000        8.208 <none> (D)  
            m2   ka_2x2_1023_3575                                7      8.208     0.000        8.208 <none> (D)  
            m3   ka_2x2_1023_3576                                7      8.208     0.000        8.208 <none> (D)  
            m4   ka_2x2_1023_3577                                7      8.208     0.000        8.208 <none> (D)  
        i4       ka_8x8_63                                     194    392.958     0.000      392.958 <none> (D)  
          m1     ka_4x4_255_952                                 42     75.582     0.000       75.582 <none> (D)  
            m1   ka_2x2_1023_3578                                7      8.208     0.000        8.208 <none> (D)  
            m2   ka_2x2_1023_3579                                7      8.208     0.000        8.208 <none> (D)  
            m3   ka_2x2_1023_3580                                7      8.208     0.000        8.208 <none> (D)  
            m4   ka_2x2_1023_3581                                7      8.208     0.000        8.208 <none> (D)  
          m2     ka_4x4_255_953                                 42     75.582     0.000       75.582 <none> (D)  
            m1   ka_2x2_1023_3582                                7      8.208     0.000        8.208 <none> (D)  
            m2   ka_2x2_1023_3583                                7      8.208     0.000        8.208 <none> (D)  
            m3   ka_2x2_1023_3584                                7      8.208     0.000        8.208 <none> (D)  
            m4   ka_2x2_1023_3585                                7      8.208     0.000        8.208 <none> (D)  
          m3     ka_4x4_255_954                                 42     75.582     0.000       75.582 <none> (D)  
            m1   ka_2x2_1023_3586                                7      8.208     0.000        8.208 <none> (D)  
            m2   ka_2x2_1023_3587                                7      8.208     0.000        8.208 <none> (D)  
            m3   ka_2x2_1023_3588                                7      8.208     0.000        8.208 <none> (D)  
            m4   ka_2x2_1023_3589                                7      8.208     0.000        8.208 <none> (D)  
          m4     ka_4x4_255                                     42     75.582     0.000       75.582 <none> (D)  
            m1   ka_2x2_1023_3590                                7      8.208     0.000        8.208 <none> (D)  
            m2   ka_2x2_1023_3591                                7      8.208     0.000        8.208 <none> (D)  
            m3   ka_2x2_1023_3592                                7      8.208     0.000        8.208 <none> (D)  
            m4   ka_2x2_1023                                     7      8.208     0.000        8.208 <none> (D)  
  (D) = wireload is default in technology library
