============================================================
  Generated by:           Genus(TM) Synthesis Solution 21.10-p002_1
  Generated on:           Jul 26 2023  02:42:43 pm
  Module:                 ModRed
  Technology library:     fast_vdd1v0 1.0
  Operating conditions:   PVT_1P1V_0C (balanced_tree)
  Wireload mode:          enclosed
  Area mode:              timing library
============================================================

    Instance                     Module                 Cell Count  Cell Area  Net Area   Total Area   Wireload  
-----------------------------------------------------------------------------------------------------------------
ModRed                                                        6664  18594.540     0.000    18594.540 <none> (D)  
            m3   ka_2x2_1023_3012                                7      8.208     0.000        8.208 <none> (D)  
            m4   ka_2x2_1023_3013                                7      8.208     0.000        8.208 <none> (D)  
          m4     ka_4x4_255_823                                 40     74.214     0.000       74.214 <none> (D)  
            m1   ka_2x2_1023_3014                                6      7.524     0.000        7.524 <none> (D)  
            m2   ka_2x2_1023_3015                                6      7.524     0.000        7.524 <none> (D)  
            m3   ka_2x2_1023_3016                                7      8.208     0.000        8.208 <none> (D)  
            m4   ka_2x2_1023_3017                                7      8.208     0.000        8.208 <none> (D)  
        i2       ka_8x8_63_982                                 158    354.654     0.000      354.654 <none> (D)  
          m1     ka_4x4_255_824                                 26     57.798     0.000       57.798 <none> (D)  
            m1   ka_2x2_1023_3018                                6      7.524     0.000        7.524 <none> (D)  
            m2   ka_2x2_1023_3019                                6      7.524     0.000        7.524 <none> (D)  
          m2     ka_4x4_255_825                                 26     57.798     0.000       57.798 <none> (D)  
            m1   ka_2x2_1023_3022                                6      7.524     0.000        7.524 <none> (D)  
            m2   ka_2x2_1023_3023                                6      7.524     0.000        7.524 <none> (D)  
          m3     ka_4x4_255_826                                 40     74.214     0.000       74.214 <none> (D)  
            m1   ka_2x2_1023_3026                                6      7.524     0.000        7.524 <none> (D)  
            m2   ka_2x2_1023_3027                                6      7.524     0.000        7.524 <none> (D)  
            m3   ka_2x2_1023_3028                                7      8.208     0.000        8.208 <none> (D)  
            m4   ka_2x2_1023_3029                                7      8.208     0.000        8.208 <none> (D)  
          m4     ka_4x4_255_827                                 40     74.214     0.000       74.214 <none> (D)  
            m1   ka_2x2_1023_3030                                6      7.524     0.000        7.524 <none> (D)  
            m2   ka_2x2_1023_3031                                6      7.524     0.000        7.524 <none> (D)  
            m3   ka_2x2_1023_3032                                7      8.208     0.000        8.208 <none> (D)  
            m4   ka_2x2_1023_3033                                7      8.208     0.000        8.208 <none> (D)  
        i3       ka_8x8_63_983                                 194    392.958     0.000      392.958 <none> (D)  
          m1     ka_4x4_255_828                                 42     75.582     0.000       75.582 <none> (D)  
            m1   ka_2x2_1023_3034                                7      8.208     0.000        8.208 <none> (D)  
            m2   ka_2x2_1023_3035                                7      8.208     0.000        8.208 <none> (D)  
            m3   ka_2x2_1023_3036                                7      8.208     0.000        8.208 <none> (D)  
            m4   ka_2x2_1023_3037                                7      8.208     0.000        8.208 <none> (D)  
          m2     ka_4x4_255_829                                 42     75.582     0.000       75.582 <none> (D)  
            m1   ka_2x2_1023_3038                                7      8.208     0.000        8.208 <none> (D)  
            m2   ka_2x2_1023_3039                                7      8.208     0.000        8.208 <none> (D)  
            m3   ka_2x2_1023_3040                                7      8.208     0.000        8.208 <none> (D)  
            m4   ka_2x2_1023_3041                                7      8.208     0.000        8.208 <none> (D)  
          m3     ka_4x4_255_830                                 42     75.582     0.000       75.582 <none> (D)  
            m1   ka_2x2_1023_3042                                7      8.208     0.000        8.208 <none> (D)  
            m2   ka_2x2_1023_3043                                7      8.208     0.000        8.208 <none> (D)  
            m3   ka_2x2_1023_3044                                7      8.208     0.000        8.208 <none> (D)  
            m4   ka_2x2_1023_3045                                7      8.208     0.000        8.208 <none> (D)  
          m4     ka_4x4_255_831                                 42     75.582     0.000       75.582 <none> (D)  
            m1   ka_2x2_1023_3046                                7      8.208     0.000        8.208 <none> (D)  
            m2   ka_2x2_1023_3047                                7      8.208     0.000        8.208 <none> (D)  
            m3   ka_2x2_1023_3048                                7      8.208     0.000        8.208 <none> (D)  
            m4   ka_2x2_1023_3049                                7      8.208     0.000        8.208 <none> (D)  
        i4       ka_8x8_63_984                                 194    392.958     0.000      392.958 <none> (D)  
          m1     ka_4x4_255_832                                 42     75.582     0.000       75.582 <none> (D)  
            m1   ka_2x2_1023_3050                                7      8.208     0.000        8.208 <none> (D)  
            m2   ka_2x2_1023_3051                                7      8.208     0.000        8.208 <none> (D)  
            m3   ka_2x2_1023_3052                                7      8.208     0.000        8.208 <none> (D)  
            m4   ka_2x2_1023_3053                                7      8.208     0.000        8.208 <none> (D)  
          m2     ka_4x4_255_833                                 42     75.582     0.000       75.582 <none> (D)  
            m1   ka_2x2_1023_3054                                7      8.208     0.000        8.208 <none> (D)  
            m2   ka_2x2_1023_3055                                7      8.208     0.000        8.208 <none> (D)  
            m3   ka_2x2_1023_3056                                7      8.208     0.000        8.208 <none> (D)  
            m4   ka_2x2_1023_3057                                7      8.208     0.000        8.208 <none> (D)  
          m3     ka_4x4_255_834                                 42     75.582     0.000       75.582 <none> (D)  
            m1   ka_2x2_1023_3058                                7      8.208     0.000        8.208 <none> (D)  
            m2   ka_2x2_1023_3059                                7      8.208     0.000        8.208 <none> (D)  
            m3   ka_2x2_1023_3060                                7      8.208     0.000        8.208 <none> (D)  
            m4   ka_2x2_1023_3061                                7      8.208     0.000        8.208 <none> (D)  
          m4     ka_4x4_255_835                                 42     75.582     0.000       75.582 <none> (D)  
            m1   ka_2x2_1023_3062                                7      8.208     0.000        8.208 <none> (D)  
            m2   ka_2x2_1023_3063                                7      8.208     0.000        8.208 <none> (D)  
            m3   ka_2x2_1023_3064                                7      8.208     0.000        8.208 <none> (D)  
            m4   ka_2x2_1023_3065                                7      8.208     0.000        8.208 <none> (D)  
  genblk1[1].mrs ka_ModRed_sub_CURR_DATA55_NEXT_DATA46        1734   4867.002     0.000     4867.002 <none> (D)  
    qH_mul_T2    ka_wI32_wO64_1010                            1526   3753.450     0.000     3753.450 <none> (D)  
      i1         ka_16x16_47                                   117    290.358     0.000      290.358 <none> (D)  
        i2       ka_8x8_3_962                                   38     77.292     0.000       77.292 <none> (D)  
          m2     ka_4x4_255_836                                  3      4.788     0.000        4.788 <none> (D)  
            m4   ka_2x2_1023_3071                                3      4.788     0.000        4.788 <none> (D)  
          m3     ka_4x4_14_795                                   3      4.788     0.000        4.788 <none> (D)  
            m4   ka_2x2_1023_3073                                3      4.788     0.000        4.788 <none> (D)  
          m4     ka_4x4_255_837                                 24     51.984     0.000       51.984 <none> (D)  
            m1   ka_2x2_1023_3074                                6      7.524     0.000        7.524 <none> (D)  
            m2   ka_2x2_1023_3075                                6      7.524     0.000        7.524 <none> (D)  
        i4       ka_8x8_3_970                                   71    184.338     0.000      184.338 <none> (D)  
          m1     ka_4x4_14_771                                  12     21.546     0.000       21.546 <none> (D)  
            m2   ka_2x2_1023_3078                                6      7.524     0.000        7.524 <none> (D)  
          m2     ka_4x4_255_838                                 26     57.798     0.000       57.798 <none> (D)  
            m1   ka_2x2_1023_3080                                6      7.524     0.000        7.524 <none> (D)  
            m2   ka_2x2_1023_3081                                6      7.524     0.000        7.524 <none> (D)  
          m3     ka_4x4_14_787                                  12     23.256     0.000       23.256 <none> (D)  
            m2   ka_2x2_1023_3084                                6      7.524     0.000        7.524 <none> (D)  
      i2         ka_16x16_15_50                                300    843.372     0.000      843.372 <none> (D)  
        i1       ka_8x8_63_985                                  98    251.370     0.000      251.370 <none> (D)  
          m1     ka_4x4_255_840                                 24     51.984     0.000       51.984 <none> (D)  
            m1   ka_2x2_1023_3090                                6      7.524     0.000        7.524 <none> (D)  
            m2   ka_2x2_1023_3091                                6      7.524     0.000        7.524 <none> (D)  
          m2     ka_4x4_255_841                                 26     57.798     0.000       57.798 <none> (D)  
            m1   ka_2x2_1023_3094                                6      7.524     0.000        7.524 <none> (D)  
            m2   ka_2x2_1023_3095                                6      7.524     0.000        7.524 <none> (D)  
          m3     ka_4x4_255_842                                 26     57.798     0.000       57.798 <none> (D)  
            m1   ka_2x2_1023_3098                                6      7.524     0.000        7.524 <none> (D)  
            m2   ka_2x2_1023_3099                                6      7.524     0.000        7.524 <none> (D)  
        i2       ka_8x8_63_986                                  78    206.226     0.000      206.226 <none> (D)  
          m1     ka_4x4_255_844                                 26     57.798     0.000       57.798 <none> (D)  
            m1   ka_2x2_1023_3106                                6      7.524     0.000        7.524 <none> (D)  
            m2   ka_2x2_1023_3107                                6      7.524     0.000        7.524 <none> (D)  
          m2     ka_4x4_255_845                                 26     57.798     0.000       57.798 <none> (D)  
            m1   ka_2x2_1023_3110                                6      7.524     0.000        7.524 <none> (D)  
            m2   ka_2x2_1023_3111                                6      7.524     0.000        7.524 <none> (D)  
        i3       ka_8x8_63_987                                  78    206.226     0.000      206.226 <none> (D)  
          m1     ka_4x4_255_848                                 26     57.798     0.000       57.798 <none> (D)  
            m1   ka_2x2_1023_3122                                6      7.524     0.000        7.524 <none> (D)  
            m2   ka_2x2_1023_3123                                6      7.524     0.000        7.524 <none> (D)  
          m2     ka_4x4_255_849                                 26     57.798     0.000       57.798 <none> (D)  
            m1   ka_2x2_1023_3126                                6      7.524     0.000        7.524 <none> (D)  
            m2   ka_2x2_1023_3127                                6      7.524     0.000        7.524 <none> (D)  
      i3         ka_16x16_44                                   291    642.960     0.000      642.960 <none> (D)  
        i2       ka_8x8_3_965                                  120    273.600     0.000      273.600 <none> (D)  
          m1     ka_4x4_14_776                                  12     23.256     0.000       23.256 <none> (D)  
            m2   ka_2x2_1023_3154                                6      7.524     0.000        7.524 <none> (D)  
          m2     ka_4x4_255_856                                 26     57.798     0.000       57.798 <none> (D)  
            m1   ka_2x2_1023_3156                                6      7.524     0.000        7.524 <none> (D)  
            m2   ka_2x2_1023_3157                                6      7.524     0.000        7.524 <none> (D)  
          m3     ka_4x4_14_792                                  19     31.464     0.000       31.464 <none> (D)  
            m2   ka_2x2_1023_3160                                6      7.524     0.000        7.524 <none> (D)  
            m4   ka_2x2_1023_3161                                7      8.208     0.000        8.208 <none> (D)  
          m4     ka_4x4_255_857                                 40     74.214     0.000       74.214 <none> (D)  
            m1   ka_2x2_1023_3162                                6      7.524     0.000        7.524 <none> (D)  
            m2   ka_2x2_1023_3163                                6      7.524     0.000        7.524 <none> (D)  
            m3   ka_2x2_1023_3164                                7      8.208     0.000        8.208 <none> (D)  
            m4   ka_2x2_1023_3165                                7      8.208     0.000        8.208 <none> (D)  
        i4       ka_8x8_3_973                                  147    302.328     0.000      302.328 <none> (D)  
          m1     ka_4x4_14_768                                  20     32.148     0.000       32.148 <none> (D)  
            m2   ka_2x2_1023_3166                                7      8.208     0.000        8.208 <none> (D)  
            m4   ka_2x2_1023_3167                                7      8.208     0.000        8.208 <none> (D)  
          m2     ka_4x4_255_858                                 42     75.582     0.000       75.582 <none> (D)  
